ACCIDENT_NO,VEHICLE_ID,VEHICLE_YEAR_MANUF,VEHICLE_DCA_CODE,INITIAL_DIRECTION,ROAD_SURFACE_TYPE,ROAD_SURFACE_TYPE_DESC,REG_STATE,VEHICLE_BODY_STYLE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_TYPE,VEHICLE_TYPE_DESC,VEHICLE_WEIGHT,CONSTRUCTION_TYPE,FUEL_TYPE,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS,CARRY_CAPACITY,CUBIC_CAPACITY,FINAL_DIRECTION,DRIVER_INTENT,VEHICLE_MOVEMENT,TRAILER_TYPE,VEHICLE_COLOUR_1,CAUGHT_FIRE,INITIAL_IMPACT,LAMPS,LEVEL_OF_DAMAGE,TOWED_AWAY_FLAG,TRAFFIC_CONTROL,TRAFFIC_CONTROL_DESC,REJECT_REASON
T20240007400,A,2001.0,1.0,SE,1.0,Paved,V,SEDAN,HYNDAI,ACCENT,1,Car,,R,P,4.0,4.0,5.0,1006.0,1.0,,,SE,1.0,1.0,H,BLU,2.0,2,2.0,1,2.0,0.0,No control,Parent accident rejected during accident cleaning
T20240007400,B,,2.0,NE,1.0,Paved,Z,,UNKN,DRAGON,12,Motor Scooter,,,Z,2.0,,,,2.0,,,NE,1.0,1.0,H,ZZ,9.0,F,9.0,9,9.0,11.0,Giveway sign,Parent accident rejected during accident cleaning
